지역,센터명,시도명,시군구명,주소,전화번호_1,전화번호_2,전화번호_3,홈페이지
서울,송파구청소년상담복지센터,서울특별시,송파구,(05834) 서울특별시 송파구 중대로 4길 4 송파구청소년센터 3층,02-449-7173,02-407-7179,02-449-1388,www.sp1318.or.kr
서울,마포구청소년상담복지센터,서울특별시,마포구,(04016) 서울특별시 마포구 희우정로 77 마포한강아이파크 상가동,02-6376-9900,02-6376-9900,02-6376-9909,www.mapo1388.or.kr
서울,광진구청소년상담복지센터,서울특별시,광진구,(05072) 서울특별시 광진구 아차산로 24길 17 자양공공힐링센터 3층,02-2205-2300,02-2205-2300,02-2205-2662,www.light1318.or.kr
서울,강서구청소년상담복지센터,서울특별시,강서구,(07718) 서울특별시 강서구 화곡로 18길 14-5,02-2061-8998,02-2649-1318,02-2649-0331,www.gs1318.or.kr 
서울,관악구청소년상담복지센터,서울특별시,관악구,(08790) 서울특별시 관악구 남부순환로 234길 73 싱글벙글교육센터 벙글동 4층,02-872-1318,02-871-7942,02-877-0025,http://go1318.or.kr/
서울,동대문구청소년상담복지센터,서울특별시,동대문구,"(02586) 서울특별시 동대문구 천호대로2길 23-9, 신설동복지지원센터 2층",02-2236-1318,02-2236-1318,02-2237-1316,www.ddm1318.or.kr
서울,용산구청소년상담복지센터,서울특별시,용산구,(04316) 서울특별시 용산구 백범로 329(원효로 1가) 꿈나무종합타운 4층,02-3273-5820,02-3273-5829,02-3273-5819,www.dodoit.or.kr
서울,구로구청소년상담복지센터,서울특별시,구로구,(08365) 서울특별시 구로구 오리로 1115 천왕동청소년문화의집 2층  ,02-867-1318,02-867-1318,02-851-1319,www.guro1318.or.kr
서울,강동구청소년상담복지센터,서울특별시,강동구,(05211) 서울특별시 강동구 아리수로93길 47 서울시립강동청소년수련관 2층 ,070-8819-1388,02-6252-1388,02-6252-1389,http://www.wagle.or.kr
서울,종로구청소년상담복지센터,서울특별시,종로구,(03076) 서울특별시 종로구 창경궁로 35가길 13,02-762-1318,02-762-1318,02-762-1319,www.jongno1318.or.kr
서울,성북구청소년상담복지센터,서울특별시,성북구,(02814) 서울특별시 성북구 정릉로 242 성북아동청소년센터 4층,02-3292-1388,02-3292-1779,02-3292-1784,www.sb1318.or.kr
부산,부산광역시청소년상담복지센터,부산광역시,부산진구,(47247) 부산광역시 부산진구 서전로 43 6층 (전포동),051-303-8013,051-804-5001,051-804-5056,http://www.cando.or.kr/
부산,영도구청소년상담복지센터,부산광역시,영도구,(49113) 부산광역시 영도구 절영로 321 함지골청소년수련관 1층,051-405-5605,051-405-5224,051-404-5224,www.busanyouth.or.kr
부산,부산진구청소년상담복지센터,부산광역시,부산진구,"(47209) 부산광역시 부산진구 동평로 405번길 85, 양정청소년수련관 2층",051-868-0956,051-868-0950,0303-0951-1388,http://bsjin1388.or.kr
부산,금정구청소년상담복지센터,부산광역시,금정구,(46267) 부산광역시 금정구 기찰로 96번길 47 2층,051-581-2084,051-581-2072,070-4369-6611,www.gjyouth1388.or.kr
부산,북구청소년상담복지센터,부산광역시,북구,(46579) 부산광역시 북구 덕천로3(구포1동 610-1),051-343-1388,051-334-3000,051-309-4118,http://www.bsbukgu.go.kr/youth 
부산,해운대구청소년상담복지센터,부산광역시,해운대구,(48051) 부산광역시 해운대구 재반로 151-21 해운대청소년수련관 4층,051-731-4046,051-715-1388,051-715-1389,www.u-dream.or.kr
부산,수영구청소년상담복지센터,부산광역시,수영구,(48264) 부산광역시 수영구 수영로 521번길 77 청소년문화의집 3층,051-759-8413,051-759-8411,051-759-8412,www.meetyou.kr
부산,사하구청소년상담복지센터,부산광역시,사하구,(49412) 부산광역시 사하구 동매로 161 ,051-207-7169,051-207-7179,051-207-7199,www.saha1388.kr
부산,부산남구청소년상담복지센터,부산광역시,남구,(48494) 부산광역시 남구 유엔평화로 24 5층,051-621-1389,051-621-4831,051-621-4841,www.namgu1388.kr
부산,기장군청소년상담복지센터,부산광역시,기장군,(46069) 부산광역시 기장군 기장읍 차성서로 86 대라다목적도서관 4층,051-792-4880,051-792-4932,051-723-4255,http://gijangcmc.or.kr/1388/main/main.asp
부산,동래구청소년상담복지센터,부산광역시,동래구,"(47710) 부산광역시 동래구 중앙대로 1523 SK허브스카이 A3동 05호, 06호 3층",051-555-1388 ,051-555-1388 ,051-558-3932,www.1388youth.kr 
부산,부산서구청소년상담복지센터,부산광역시,서구,(49206) 부산광역시 서구 시약로 125 1층,051-714-3013,051-714-0701,070-8260-9966,www.flyseogu1388.or.kr 
부산,사상구청소년상담복지센터,부산광역시,사상구,(46927) 부산광역시 사상구 백양대로 952 사상아동보건센터 3층,051-327-1388,051-327-0808,051-327-0809,http://sasang1388.kr/
부산,부산동구청소년상담복지센터,부산광역시,동구,(48723) 부산광역시 동구 범곡로 9 비전센터 3층,051-632-1388,070-7733-8351,051-632-1389,http://bsdg1388.kr/
부산,부산중구청소년상담복지센터,부산광역시,중구,(48954) 부산광역시 중구 남포길 39-2 3층,051-231-1388,051-245-1388,051-241-1388,www.junggu1388.or.kr
부산,연제구청소년상담복지센터,부산광역시,연제구,(47525) 부산광역시 연제구 월드컵대로 243번길 19 거제동원타워상가 503호,051-506-1386,051-506-1388,050-4926-0238,www.yeonje1388.or.kr
대구,대구광역시청소년상담복지센터,대구광역시,중구,(41934) 대구광역시 중구 중앙대로 81길 66-5 대구청소년지원재단 3층,053-659-6240,053-659-6272,053-659-6249,www.daeguyouth.net
대구,달서구청소년상담복지센터,대구광역시,달서구,(42726) 대구광역시 달서구 학산로 7길 39 (월성동),053-638-1388,053-638-1388,053-638-1390,www.dalbi1388.or.kr
대구,수성구청소년상담복지센터,대구광역시,수성구,(42027) 대구광역시 수성구 달구벌대로 2451 범어도서관 5층,053-759-1388,053-666-4201,053-666-4249,http://ss1388.suseong.kr 
대구,대구동구청소년상담복지센터,대구광역시,동구,(41155) 대구광역시 동구 동촌로 16길 20 아인빌딩 2층,053-984-1319,053-984-1318,053-984-1316,http://www.dg1388.or.kr
대구,대구서구청소년상담복지센터,대구광역시,서구,(41770) 대구광역시 서구 서대구로222 3층,053-562-1388,053-216-8310,053-289-3410,www.seoguc8310.or.kr 
대구,대구북구청소년상담복지센터,대구광역시,북구,(41439) 대구광역시 북구 칠곡중앙대로561 읍내동행정복지센터 3층,053-324-1388,053-324-1388,053-324-2388,www.teen1388.or.kr
대구,대구달성군청소년상담복지센터,대구광역시,달성군,(42985) 대구광역시 달성군 논공읍 논공로 252 3층,053-614-1388,053-614-1388,053-614-1387,http://www.ds1388.or.kr/ds1388/
대구,대구중구청소년상담복지센터,대구광역시,중구,(41919) 대구광역시 중구 국채보상로 541 8층,053-423-1377,053-423-1388,053-423-1389,http://www.ymca1388.or.kr/ 
대구,대구남구청소년상담복지센터,대구광역시,남구,(42410) 대구광역시 남구 중앙대로 49길 25 2층,053-624-0996,053-624-1388,053-624-1318,www.dng1388.or.kr
인천,인천광역시청소년상담복지센터,인천광역시,동구,(22573) 인천광역시 동구 박문로 1. 인천교구 가톨릭청소년센터 1층,032-429-0394,032-721-2300,032-721-2320,www.inyouth.or.kr
인천,연수구청소년상담복지센터,인천광역시,연수구,(21936) 인천광역시 연수구 원인재로 283 연수3동 주민센터 4층        ,032-818-0358,032-819-7308,032-818-1760,www.ysyouth.or.kr
인천,계양구청소년상담복지센터,인천광역시,계양구,(21026) 인천광역시 계양구 장제로937 계양구청소년수련관 4층,032-547-0855,032-547-0856,032-547-0857,www.gyeyang1388.or.kr
인천,동구청소년상담복지센터,인천광역시,동구,(22543) 인천광역시 동구 솔빛로 82 3층,032-777-1388,032-777-1389,032-766-1387,www.dream1388.or.kr
인천,인천미추홀구청소년상담복지센터,인천광역시,미추홀구,(22136) 인천광역시 미추홀구 주안로82(주안1동 232-3) 청소년미디어센터 5층,032-862-4877,032-728-6840,032-728-6849,www.michu1388.or.kr
인천,인천서구청소년상담복지센터,인천광역시,서구,(22819) 인천광역시 서구 원적로 7번길 12 가좌청소년센터 2층 ,032-584-1386,032-584-1388,032-584-1389,www.sg1388.or.kr
인천,부평구청소년상담복지센터,인천광역시,부평구,(21387) 인천광역시 부평구 부평문화로 37번길 1 3층,032-509-8916,032-509-8910,032-509-8917,http://portal.icbp.go.kr/1388/
인천,남동구청소년상담복지센터,인천광역시,남동구,(21589) 인천광역시 남동구 소래로 645 남동구평생학습관 2층,032-468-1388,032-471-1388,032-471-1387,http://nd1388.or.kr
인천,중구청소년상담복지센터,인천광역시,중구,(22309) 인천광역시 중구 참외전로 72번길 25 동인천동행정복지센터 3층,032-773-1317,032-773-1318,032-773-1389,www.junggu1388.kr
인천,중구청소년상담복지센터 영종분소,인천광역시,중구,(22379) 인천광역시 중구 영종해안북로 1000-26 하늘문화센터 복지동 2층,032-747-1318,032-747-1318,070-7500-2328,www.junggu1388.kr
인천,강화군청소년상담복지센터,인천광역시,강화군,"(23033) 인천광역시 강화군 강화읍 향나무길 22번길 30-1, 2층",032-932-1388,,,
광주,광주광역시청소년상담복지센터,광주광역시,동구,(61475) 광주광역시 동구 중앙로196번길 5 4층,062-226-8181,062-232-2000,062-232-2003,www.gj1388.or.kr
광주,광주북구청소년상담복지센터,광주광역시,북구,"(61132) 광주광역시 북구 대천로 86, 북구청소년수련관 1층 (문흥동 1009-1)",062-251-1388,062-268-1388,062-264-1388,www.ok1388.kr
광주,광산구청소년상담복지센터,광주광역시,광산구,(62363) 광주광역시 광산구 무진대로 246-7 2층,062-943-1388,062-951-1380,062-955-9105,www.gsg1388.or.kr 
광주,광주남구청소년상담복지센터,광주광역시,남구,(61727) 광주광역시 남구 서문대로 693,062-675-1388,070-4044-7081,062-674-1388,www.1388namgu.or.kr
광주,광주서구청소년상담복지센터,광주광역시,서구,(62048) 광주광역시 서구 금화로 278 국민생활관 2층 213 ~ 215호 (풍암동 염주체육관 내),062-375-1388,062-375-1388,070-8280-7711,www.happy1388.com
광주,광주동구청소년상담복지센터,광주광역시,동구,(61482) 광주광역시 동구 금남로 246 광주 YMCA 3층,062-229-3308,,062-229-3309,www.dg1388.com
대전,대전광역시청소년상담복지센터,대전광역시,동구,(34630) 대전광역시 동구 대전천동로 508 6층,042-252-6577,042-257-2000,042-257-2077,www.dj1388.or.kr
대전,대전서구청소년상담복지센터,대전광역시,서구,(35334) 대전광역시 서구 도솔로72 3층,042-527-1112,042-527-3112,042-537-9111,http://www.sgy1388.or.kr
대전,유성구청소년상담복지센터,대전광역시,유성구,(34097) 대전광역시 유성구 북유성대로 158 유성구청소년수련관 3층,042-824-3454,042-862-7942,042-825-7943,counsel.happyyc1318.or.kr
울산,울산광역시청소년상담복지센터,울산광역시,중구,"(44532) 울산광역시 중구 강북로 105 상가동 2층 (성남동, 롯데캐슬스카이)",052-227-2000,052-227-2000,052-211-2979,www.counteen.or.kr
울산,울산동구청소년상담복지센터,울산광역시,동구,(44011) 울산광역시 동구 남목9길13(서부동) 남목청소년문화의집 4층,052-233-5279,052-209-3435,052-233-1435,www.friend5279.or.kr
울산,울산북구청소년상담복지센터,울산광역시,북구,(44224) 울산광역시 북구 제내1길 6 복음빌딩 4층,052-283-1388,052-283-1390,052-283-1391,www.bukgu1388.or.kr
울산,울산남구청소년상담복지센터,울산광역시,남구,(44692) 울산광역시 남구 돋질로106 마이코즈건물 3층,052-291-1388,052-227-2011,052-292-1388,http://www.micos1388.or.kr
울산,울주군청소년상담복지센터,울산광역시,울주군,(45006) 울산광역시 울주군 온산읍 덕남로 5 3층,052-263-1388,052-229-9630~4,052-229-9639,www.ulju1388.or.kr
울산,울주군중부청소년상담복지센터,울산광역시,울주군,(44920) 울산광역시 울주군 범서읍 구영로 101-20 울주중부청소년수련관 내 3층,052-229-9652,052-229-9651~6,052-229-9659,www.ulju1388.or.kr
세종,세종특별자치시청소년상담복지센터,세종특별자치시,조치원읍,(30024) 세종특별자치시 조치원읍 새내로 108 2층 ,044-867-2022,044-867-2000,044-867-2001,www.sj1388.or.kr
경기,경기도청소년상담복지센터,경기도,수원시,(16305) 경기도 수원시 장안구 송원로 55 행정동우회관 1층 ,031-248-1318,031-248-1318,031-245-2309,www.hi1318.or.kr
경기,성남시청소년상담복지센터,경기도,성남시,(13438) 경기도 성남시 중원구 성남대로 997번길 7(금담빌딜) 4층,031-756-1388,031-756-1388,031-756-8626,http://www.snyouth.or.kr/sn1388 
경기,의정부시청소년상담복지센터,경기도,의정부시,(11622) 경기도 의정부시 의정로 27 청소년수련관 3층,031-872-1388,031-872-1388,031-828-9574,www.uiyouth.or.kr
경기,안양시청소년상담복지센터,경기도,만안구,(13997) 경기도 안양시 만안구 안양로 263번길 31,031-446-0242,031-8045-2745~6,031-446-0243,www.ayf.or.kr/1388
경기,부천시청소년상담복지센터,경기도,부천시,(14596) 경기도 부천시 원미구 장말로 107 복사골문화센터 301호,032-325-3002,032-325-3002,032-325-1015,www.zzang1318.or.kr
경기,광명시청소년상담복지센터,경기도,광명시,(14241) 경기도 광명시 디지털 34 철산별관 노둣돌 1호동 1층,02-809-2000,02-809-2000,02-809-2085,https://www.gmyouth.org/
경기,평택시청소년상담복지센터,경기도,평택시,(17903) 경기도 평택시 평남로 616 청소년문화센터 4층,031-656-1383,031-654-1388,031-656-1363,www.pt1318.or.kr
경기,동두천시청소년상담복지센터,경기도,동두천시,(11362) 경기도 동두천시 지행로 95 청소년수련관 3층,031-861-1388,031-865-0785,031-862-0784,http://1388.tistory.com
경기,안산시청소년상담복지센터,경기도,안산시,(15387) 경기도 안산시 단원구 원초로 76 4층,031-414-1318,031-482-3181,031-486-0944,www.aycc.org
경기,고양시청소년상담복지센터,경기도,고양시,(10512) 경기도 고양시 덕양구 중앙로 633번길 25 토당청소년수련관 2층,031-995-4269,031-995-4250,031-995-4278,https://www.gcyf.or.kr/sb
경기,구리시청소년상담복지센터,경기도,구리시,(11922) 경기도 구리시 건원대로 34번길 32-10 구리시청소년수련관 3층 ,031-557-2000,031-557-2000,031-568-6352,http://guri1388.or.kr/mall/main.php
경기,남양주시청소년상담복지센터,경기도,남양주시,(12244) 경기도 남양주시 다산지금로 51-47 남양주시청소년수련과 2층,031-590-8098,031-590-8098,031-590-8099,https://www.nyj.go.kr/main/1
경기,오산시청소년상담복지센터,경기도,오산시,(18136) 경기도 오산시 오산로 278번길 3 2층 (오산동),031-372-4004,031-372-4004,031-373-7740,www.osan1318.or.kr
경기,시흥시청소년상담복지센터,경기도,시흥시,(14914) 경기도 시흥시 은행로 179 시흥시청소년수련관 별관 1층,031-318-7100,031-318-7100,031-318-7102,www.shyc.or.kr
경기,시흥시정왕청소년상담복지센터,경기도,시흥시,(15049) 경기도 시흥시 오동마을로 33 3층(금광빌딩),031-318-7101,031-318-7101,031-318-7102,www.shyc.or.kr
경기,하남시청소년상담복지센터,경기도,하남시,(12919) 경기도 하남시 조정대로111(풍산동) 하남시청소년수련관 2층,031-790-6680,031-790-6681,031-790-6682,www.hanam.go.kr
경기,군포시청소년상담복지센터,경기도,군포시,"(15823) 경기도 군포시 수리산로 112 슬기관 2층(산본동, 수리산상상마을)",031-397-1388,031-390-1468,031-395-1452,www.gp1318.or.kr
경기,의왕시청소년상담복지센터,경기도,의왕시,(16077) 경기도 의왕시 문화공원로 33 3층,031-452-1388,031-458-5037,031-458-5038,https://www.uyf.or.kr/uw1388/388
경기,용인시청소년상담복지센터,경기도,용인시,(17019) 경기도 용인시 처인구 중부대로 1199 청소년수련관 4층,031-324-9300,031-324-9300,031-322-9303,www.yiyf.or.kr
경기,파주시청소년상담복지센터,경기도,파주시,(10894) 경기도 파주시 와석순환로 415 운정행복센터 6층,031-540-5321,031-540-5300,031-946-1318,www.pajuyouth.or.kr
경기,이천시청소년상담복지센터,경기도,이천시,(17371) 경기도 이천시 영창로 260 서희청소년문화센터 3층,031-634-2777,031-634-2777,031-634-1570,www.ic1318.or.kr
경기,안성시청소년상담복지센터,경기도,안성시,(17591) 경기도 안성시 낙원길 108 안성시청소년문화의집 2층 (낙원동),031-676-1318(내선1),031-676-1318(내선0),031-676-1319,www.an1318.or.kr
경기,김포시청소년상담복지센터,경기도,김포시,(10099) 경기도 김포시 걸포로 76 중봉청소년수련관 2층,031-984-1388,031-980-1681,031-980-1685,https://www.fgy.or.kr/ssac1388
경기,양주시청소년상담복지센터,경기도,양주시,(11469) 경기도 양주시 옥정서로254 옥정3단지 내 행복플러스어린이집 2층,031-858-1318,031-8082-4121,031-858-1007,https://www.yangju.go.kr/yj1318/index.do
경기,여주시청소년상담복지센터,경기도,여주시,(12623) 경기도 여주시 청심로 88 3층,031-886-0544,031-882-8889,0502-882-9191,youth.yeoju.go.kr
경기,화성시청소년상담복지센터,경기도,화성시,(18732) 경기도 화성시 태안로 145 유앤아이센터 2층(병점동),031-225-1318,031-267-8771,031-267-8774,www.mars1318.or.kr
경기,광주시청소년상담복지센터,경기도,광주시,(12779) 경기도 광주시 회안대로 350-17 청소년수련관 3층,031-761-1389,031-762-2219,031-763-7633,www.ggj1388.or.kr/
경기,연천군청소년상담복지센터,경기도,연천군,(11026) 경기도 연천군 전곡읍 전영로 11 연천군종합복지관 내 2층,031-832-4452,031-839-2000,031-832-8167,www.yc1388.or.kr
경기,가평군청소년상담복지센터,,가평군,"(12452) 경기도 가평군 청평면 은고개로 39, 1층 가평군청소년상담복지센터",031-581-0397,031-582-2000(1),031-582-8835,www.gp1318.com
경기,양평군청소년상담복지센터,경기도,양평군,(12556) 경기도 양평군 양근로 183 삼진빌딩 2층,031-775-1318,031-770-2715,031-770-2841,https://www.yp21.go.kr/www/contents.do?key=2182
경기,포천시청소년상담복지센터,경기도,포천시,(11184) 경기도 포천시 소흘읍 호국로 523번길 59-56 청소년교육문화센터 내 2층,031-533-1318,031-538-2219,031-532-1399, http://www.pocheon.go.kr/counsel/index.do
경기,과천시청소년상담복지센터,경기도,과천시,(13828) 경기도 과천시 참마을로 9 과천시청소년수련관 1층,02-504-1388,02-502-1318,02-502-1330,www.gc1318.or.kr
경기,수원시청소년상담복지센터,경기도,수원시,(16486) 경기도 수원시 팔달구 권광로 293 수원시청소년재단 희망등대센터 3층,031-212-1318,031-212-1318,031-218-0449,http://www.syf.or.kr
강원,강원도청소년상담복지센터,,춘천시,(24270) 강원도 춘천시 중앙로 14,033-256-9803,033-256-2000,033-241-8181,www.gycc.org
강원,강릉시청소년상담복지센터,강원도,강릉시,(25474) 강원도 강릉시 종합운동장길 72-21 강릉시청소년수련관 2층,033-655-1388,033-646-8666,033-641-5681,www.gn1388.or.kr 
강원,원주시청소년상담복지센터,,원주시,(26475) 강원도 원주시 서원대로 234 원주시청소년수련관 이음관 2층,033-744-1388,033-734-1388,033-745-1505,www.wonju1388.kr
강원,철원군청소년상담복지센터,강원도,철원군,(24037) 강원도 철원군 갈말읍 명성로 139번길 52,033-452-2000,033-450-5622,033-450-5166,http://youth.cwg.go.kr/site/youth/sub.do?key=2872
강원,영월군청소년상담복지센터,강원도,영월군,(26237) 강원도 영월군 영월읍 제방안길 100,033-375-1318,033-375-1328,033-375-1338,www.kyw1318.or.kr
강원,속초시청소년상담복지센터,,속초시,(24867) 강원도 속초시 관광로 377,033-638-1388,033-633-0741,033-635-0741,www.sokcho1388.org
강원,정선군청소년상담복지센터,강원도,정선군,(26150) 강원도 정선군 사북읍 사북 6길 12-6,033-591-1313,033-591-1311~4,033-591-1310,http://www.jsyouth.or.kr/
강원,동해시청소년상담복지센터,강원도,동해시,(25735) 강원도 동해시 부곡1길 6,033-535-1388,033-532-3070,033-534-7677,http://www.dhyc.or.kr/counsel/04.htm
강원,태백시청소년상담복지센터,,태백시,(26044) 강원도 태백시 태백로 1663 (문곡동),033-582-1377,033-582-1387,033-582-1376,www.tb1388.kr
강원,홍천군청소년상담복지센터,,홍천군,(25131) 강원도 홍천군 홍천읍 산림공원 2길 31 청소년수련관 2층,033-433-1386,033-432-1386,033-435-1388,www.hcyc1388.org
강원,춘천시청소년상담복지센터,강원도,춘천시,(24400) 강원도 춘천시 동내면 외솔길 19번길 45,033-818-1388,033-818-1389,070-4009-2491,http://www.cool1388.com/
강원,횡성군청소년상담복지센터,강원도,횡성군,(25236) 강원도 횡성군 횡성읍 문예로 75 청소년수련관,033-344-1388,033-340-2078,033-344-2990,http://hsg1388.modoo.at
강원,삼척시청소년상담복지센터,강원도,삼척시,(25919) 강원도 삼척시 엑스포로 50-1 3층,033-575-5002~3,070-4469-7735,033-575-5001,http://scc1388.co.kr/
강원,평창군청소년상담복지센터,강원도,평창군,(25377) 강원도 평창군 평창읍 종부로 61 3층,033-335-1388,033-335-0924,033-332-1318,http://www.pc1388.or.kr
충북,충청북도청소년상담복지센터,,청주시,(28516) 충청북도 청주시 상당구 대성로 103(문화동 69-1),043-258-2000,043-220-6826,043-258-3422,http://1388.cbyouth.net
충북,충주시청소년상담복지센터,,충주시,(27411) 충청북도 충주시 중원대로 3324 ,043-842-2007,043-856-7804,043-854-1388,www.chungstar.org
충북,청주시청소년상담복지센터,충청북도,청주시,(28543) 충청북도 청주시 상당구 중앙로 30 청하빌딩 5층,043-275-1388,043-223-0755,043-223-0757,www.cj1388.or.kr
충북,제천시청소년상담복지센터,충청북도,제천시,(27152) 충청북도 제천시 의림대로264 비둘기상가A동 2층,043-642-7949,043-642-7939,043-642-7955,www.jc1318.or.kr
충북,단양군청소년상담복지센터,충청북도,단양군,(27012) 충청북도 단양군 단양읍 삼봉로 187-18 단양군청소년수련관 2층,043-421-8370~1,043-420-3142,043-421-8375,www.danyang.go.kr/dy1388
충북,서청주청소년상담복지센터,충청북도,청주시,(28436) 충청북도 청주시 흥덕구 직지대로 351번길 56 청주시청소년수련관 3층,043-297-1388,043-297-8802,043-297-1380,http://www.1388cw.or.kr/
충북,영동군청소년상담복지센터,충청북도,영동군,(29149) 충청북도 영동군 영동읍 성안길8 청소년수련관 2층,043-744-5700,043-740-3968,043-744-5702,www.yd1388.or.kr
충북,음성군청소년상담복지센터,충청북도,음성군,(27703) 충청북도 음성군 음성읍 설성공원길 16 음성청소년문화의집 1층,043-873-1318,043-873-1320,043-873-1319,www.es1388.or.kr
충북,옥천군청소년상담복지센터,충청북도,옥천군,(29040) 충청북도 옥천군 옥천읍 동부로 39 청소년수련관 1층,043-731-1388,043-731-1388,043-731-1937,www.oc.go.kr/youth/index.do
충북,진천군청소년상담복지센터,충청북도,진천군,(27832) 충청북도 진천군 진천읍 포석길 37-10 청소년수련관 4층,043-536-3430,043-536-3430,043-537-3430,
충북,괴산군청소년상담복지센터,충청북도,괴산군,(28035) 충청북도 괴산군 괴산읍 읍내로6길 20-9,043-834-7943,043-834-7944,043-834-7946,http://www.goesan1388.or.kr 
충북,증평군청소년상담복지센터,충청북도,증평군,(27948) 충청북도 증평군 증평읍 보건복지로 64-2,043-835-4188,043-835-4189,043-835-4190,www.jp1388.or.kr
충북,보은군청소년상담복지센터, 충청북도,보은군,(28936) 충청북도 보은군 보은읍 뱃들4길 11-14,043-544-1388,043-542-1388,043-542-0924,www.boeun1388.or.kr
충남,충청남도청소년상담복지센터,충청남도,천안시,"(31100) 충청남도 천안시 서북구 서부대로 766 3~4층(두정동, 진암빌딩)",041-554-2130,041-554-2000,041-556-8704,http://cnyouth.or.kr
충남,공주시청소년상담복지센터,충청남도,공주시,(32546) 충청남도 공주시 대통 1길 57,041-856-1388,041-858-1318,041-858-1319,http://www.gj1318.or.kr
충남,금산군청소년상담복지센터,충청남도,금산군,(32726) 충청남도 금산군 금산읍 금산로1559 다락원 만남의 집 3층,041-751-2007,041-751-1383,041-754-1386,www.gs1388.or.kr
충남,논산시청소년상담복지센터,충청남도,논산시,(32993) 충청남도 논산시 논산대로 424 논산시청소년수련관 1층,041-736-2041,041-730-6041,041-736-2042,https://www.nsyouth.or.kr/kr/
충남,당진시청소년상담복지센터,충청남도,당진시,(31772) 충청남도 당진시 무수동 7길 142-26,041-357-2000,041-360-6963,041-357-2088,http://www.dangjin.go.kr/dj1388.do
충남,보령시청소년상담복지센터,충청남도,보령시,(33466) 충청남도 보령시 문화원길 9 보령시청소년문화의집 3층,041-936-5710,041-936-3893,041-936-5747,www.dongmuya.or.kr
충남,부여군청소년상담복지센터,충청남도,부여군,(33149) 충청남도 부여군 부여읍 의열로 43,041-836-1898,041-837-1898,041-834-9588,www.1388buyeo.or.kr/
충남,서산시청소년상담복지센터,,서산시,(31967) 충청남도 서산시 서령로136 서산문화복지센터 청소년수련관 3층,041-669-2000,041-669-2000,041-681-2000,www.haemaum.com
충남,서천군청소년상담복지센터,충청남도,서천군,(33644) 충청남도 서천군 서천읍 서천향교길 3 2층,041-953-4040,041-953-9799,041-952-8765,www.sycw1388.co.kr
충남,아산시청소년상담복지센터,충청남도,아산시,(31513) 충청남도 아산시 시장길 29 시민문화복지센터 303호,041-532-2000,041-541-0039,041-541-0073,http://www.asanyouth.or.kr
