지역,센터명,주소,전화번호
대구,대구중구청소년상담복지센터,"(41919) 대구시 중구 국채보상로 541, 8층",053-423-1377
대구,대구남구청소년상담복지센터,"(42410) 대구시 남구 중앙대로 49길 25, 2층",053-624-0996
인천,인천광역시청소년상담복지센터,(22573) 인천시 동구 박문로 1. 인천교구 가톨릭청소년센터 1층,032-429-0394
인천,연수구청소년상담복지센터,(21936) 인천시 연수구 원인재로 283 연수3동 주민센터 4층,032-818-0358
인천,계양구청소년상담복지센터,(21026) 인천시 계양구 장제로937 계양구청소년수련관 4층,032-547-0855
인천,동구청소년상담복지센터,"(22543) 인천시 동구 솔빛로 82, 3층",032-777-1388
인천,인천미추홀구청소년상담복지센터,(22136) 인천시 미추홀구 주안로82 청소년미디어센터 5층,032-862-8751
인천,인천서구청소년상담복지센터,(22771) 인천시 서구 원창로 92 서구청소년수련관 내 3층,032-584-1388
인천,부평구청소년상담복지센터,(21387) 인천시 부평구 부평문화로 37번길 1,032-509-8916
인천,남동구청소년상담복지센터,"(21524) 인천시 남동구 만수서로 70, 3층",032-469-7197
인천,중구청소년상담복지센터,"(22309) 인천시 중구 참외전로 72번길 25, 동인천동주민센터 3층",032-773-1317
광주,광주광역시청소년상담복지센터,(61948) 광주시 서구 상무자유로 173 4·5층,062-226-8181
광주,광주북구청소년상담복지센터,"(61132) 광주시 북구 대천로 86, 북구청소년수련관 1층(문흥동 1009-1)",062-251-1388
광주,광산구청소년상담복지센터,(62359) 광주시 광산구 무진대로 211번길 28,062-943-1388
광주,광주남구청소년상담복지센터,(61727) 광주시 남구 서문대로 693,062-675-1388
광주,광주서구청소년상담복지센터,(62048) 광주시 서구 금화로 278 국민생활관 2층 213 ~ 215호 (풍암동 염주체육관 내),062-375-1388
광주,광주동구청소년상담복지센터,(61482) 광주시 동구 금남로 246 광주 YMCA 3층,062-229-3308
대전,대전광역시청소년상담복지센터,"(34630) 대전시 동구 대전천동로 508, 6층",042-257-2000
대전,대전서구청소년상담복지센터,(35334) 대전시 서구 도솔로72 3층,042-527-1112
대전,유성구청소년상담복지센터,(34097) 대전시 유성구 북유성대로 158 유성구청소년수련관 3층,042-824-3454
울산,울산광역시청소년상담복지센터,"(44532) 울산시 중구 강북로 105, 상가동 2층(성남동, 롯데캐슬스카이)",052-227-2000
울산,울산동구청소년상담복지센터,(44011) 울산시 동구 남목9길13(서부동) 남목청소년문화의집 4층,052-233-5279
울산,울산북구청소년상담복지센터,(44224) 울산시 북구 제내1길 6 나운빌딩 4층,052-283-1388
울산,울산남구청소년상담복지센터,(44692) 울산시 남구 돋질로106 마이코즈건물 3층,052-291-1388
울산,울주군청소년상담복지센터,(45001) 울산시 울주군 온산읍 명봉거남로 4,052-263-1388
울산,울주군청소년상담복지센터,(44948) 울산시 울주군 삼남면 울산역로345 울주군청소년수련관 내 2층,052-229-9636
경기,경기도청소년상담복지센터,(16305) 경기도 수원시 장안구 송원로 55 행정동우회관 1층,031-248-1318
경기,성남시청소년상담복지센터,(13439) 경기도 성남시 성남대로 997번길 25-9 삼성빌딩 3층(여수동),031-756-1388
경기,의정부시청소년상담복지센터,본소 - (11622)  경기도 의정부시 의정로 27 청소년수련관 3층,031-872-1388
경기,의정부시청소년상담복지센터,호원분소 - (11714)  경기도 의정부시 평화로 155-1 장수원어린이집 3층,031-872-1388
경기,안양시청소년상담복지센터,(13997)  경기도 안양시 만안구 안양로 263번길 31,031-446-0242
경기,부천시청소년상담복지센터,본소 - (14596) 경기도 부천시 원미구 장말로 107 복사골문화센터 301호,032-325-3002
경기,부천시청소년상담복지센터,소사센터 - (14727) 경기도 부천시 소사구 경인로 92번길 33(송내동) 송내어울마당 5층,032-325-3002
경기,부천시청소년상담복지센터,오정센터 - (14459) 경기도 부천시 원미구 삼작로 301번길 5(도당동) 시립북부도서관3층,032-325-3002
경기,광명시청소년상담복지센터,(14241) 경기도 광명시 디지털 34 노둣돌 1동 1층,02-809-2000
경기,평택시청소년상담복지센터,(17903) 경기도 평택시 평남로 616 평택시청소년문화센터 4층,031-656-1383
경기,동두천시청소년상담복지센터,(11362) 경기도 동두천시 지행로 95 청소년수련관 3층,031-861-1388
경기,안산시청소년상담복지센터,(15387) 경기도 안산시 단원구 원초로 76 4층,031-414-1318
경기,고양시청소년상담복지센터,"(10512) 경기도 고양시 덕양구 중앙로 633번길 25, 토당청소년수련관 2층",031-979-1318
경기,구리시청소년상담복지센터,(11922) 경기도 구리시 건원대로 34번길 32-10 구리시청소년수련관 2층,031-557-2000
경기,남양주시청소년상담복지센터,본소 - (12244)  경기도 남양주시 다산지금로 51-47 남양주시청소년수련관 2층,031-590-8097
경기,남양주시청소년상담복지센터,동부분소 - (12173)  경기도 남양주시 화도읍 비룡로 59 화도수동행정복지센터 별관 2층,031-590-8403
경기,남양주시청소년상담복지센터,북부분소 - (12009) 경기도 남양주시 진접읍 금강로 1509-26 진접오남행정복지센터 복지동 2층,031-590-8979
경기,오산시청소년상담복지센터,(18136) 경기도 오산시 오산로 278번길 3(오산동 2층),031-372-4004
경기,시흥시청소년상담복지센터,(14914) 경기도 시흥시 은행로 179 시흥시청소년수련관 별관 1층,031-318-7100
경기,하남시청소년상담복지센터,(12951) 경기도 하남시 대청로 10 하남시청 지층,031-790-6680
경기,군포시청소년상담복지센터,(15823) 경기도 군포시 수리산로 112 군포책마을 슬기관 2층,031-397-1388
경기,의왕시청소년상담복지센터,(16077) 경기도 의왕시 문화공원로 33,031-452-1388
경기,용인시청소년상담복지센터,본소 - (17019)  경기도 용인시 처인구 중부대로 1199 청소년수련관 4층 용인시청소년상담복지센터,031-324-9300
경기,용인시청소년상담복지센터,수지분소 - (16845) 경기도 수지구 포은대로 435 수지복지센터 5층 용인시청소년상담복지센터,031-266-9301
경기,파주시청소년상담복지센터,(10894) 경기도 파주시 와석순환로 415 운정행복센터 6층,031-946-0022
경기,이천시청소년상담복지센터,(17371) 경기도 이천시 영창로 260 서희청소년문화센터 3층,031-634-2777
경기,이천시청소년상담복지센터,(17420) 경기도 이천시 장호원읍 서동대로8965번길 57. 청미청소년문화의집 1층 이천시청소년상담복지센터 청미분소,031-634-2777
경기,안성시청소년상담복지센터,(17591) 경기도 안성시 낙원길 108 안성시청소년문화의집 2층 (낙원동),031-676-1318
경기,김포시청소년상담복지센터,(10099) 경기도 김포시 걸포로 76 중봉청소년수련관 2층,031-984-1388
경기,양주시청소년상담복지센터,옥정본소 - (11469) 경기도 양주시 옥정서로 254 행복플러스 유치원 2층,031-858-1318
경기,양주시청소년상담복지센터,고읍분소 - (11492) 경기도 양주시 고읍남로 205 양주청소년문화의집 2층,031-858-1318
경기,여주시청소년상담복지센터,(12636) 경기도 여주시 신륵사길 6-8,031-882-8889
경기,화성시청소년상담복지센터,본소 - (18732) 경기도 화성시 태안로 145 유앤아이센터 2층(병점동),031-225-1318
경기,화성시청소년상담복지센터,향남 분소 - (18588) 경기도 화성시 향남읍 향남로 470 화성종합경기타운 내 1층,031-225-0924
경기,광주시청소년상담복지센터,(12744) 경기도 광주시 중앙로 197 1층,031-760-2219
경기,연천군청소년상담복지센터,(11026) 경기도 연천군 전곡읍 전영로 11 연천군종합복지관 2층,031-832-4452
경기,가평군청소년상담복지센터,(12416) 경기도 가평군 가평읍 문화로 120 가평군청소년문화의집 1층,031-581-0397
경기,양평군청소년상담복지센터,(12556) 경기도 양평군 양근로 183 삼진빌딩 2층,031-775-1318
경기,포천시청소년상담복지센터,본소 - (11184)  경기도 포천시 소흘읍 호국로 523번길 59-56 청소년교육문화센터 내 2층,031-533-1318
경기,포천시청소년상담복지센터,포천분소 - (11147)  경기도 포천시 신읍동 중앙로 96,031-536-1388
경기,과천시청소년상담복지센터,(13828) 경기도 과천시 참마을로 9 과천시청소년수련관 1층,02-504-1388
경기,수원시청소년상담복지센터,팔달센터 - (16486) 경기도 수원시 팔달구 권광로 293 수원청소년문화센터 B1층,031-218-0446
경기,수원시청소년상담복지센터,장안상담실 - (16315) 경기도 수원시 장안구 수성로 275번길 114 장안청소년문화의집 2층,031-242-1318
경기,수원시청소년상담복지센터,영통상담실 - (16703) 경기도 수원시 영통구 매영로333 영통청소년문화의집 3층(영통 2동 961-7),031-215-1318
경기,수원시청소년상담복지센터,"권선상담실 - (16584) 경기도 수원시 권선구 덕영대로 1201번길 42, 권선청소년수련관 2층",031-236-1318
경기,수원시청소년상담복지센터,광교상담실 - (16509) 경기도 수원시 영통구 도청로 17번길 24 광교청소년수련관 3층(이의동 1342),031-216-8354
경기,수원시청소년상담복지센터,칠보상담실 - (16389) 경기도 수원시 권선구 서수원로 577번길 209 칠보청소년문화의집 2층,031-278-6862
경기,수원시청소년상담복지센터,천천상담실 - (16325) 경기도 수원시 장안구 정자로 42번길 42(천천동) 천천청소년문화의집 4층,031-271-2654
강원,강원도청소년상담복지센터,(24241) 강원도 춘천시 소양로167  강원도청소년상담복지센터 2층,033-256-9803
강원,강릉시청소년상담복지센터,(25474) 강원도 강릉시 종합운동장길 72-21 강릉시청소년수련관 2층,033-655-1388
강원,원주시청소년상담복지센터,(26475) 강원도 원주시 서원대로 234 원주시청소년수련관 이음관 2층,033-744-1388
강원,철원군청소년상담복지센터,(24037) 강원도 철원군 갈말읍 명성로 139번길 52,033-452-2000
강원,영월군청소년상담복지센터,(26237) 강원도 영월군 영월읍 제방안길 100,033-375-1318
강원,속초시청소년상담복지센터,(24867) 강원도 속초시 관광로 377,033-638-1388
강원,정선군청소년상담복지센터,(26150) 강원도 정선군 사북읍 사북 6길 12-6,033-591-1313
강원,동해시청소년상담복지센터,(25759) 강원도 동해시 천곡 2길 8 (1층),033-535-1388
강원,태백시청소년상담복지센터,(26046) 강원도 태백시 동태백로 558,033-582-1377
강원,홍천군청소년상담복지센터,(25131) 강원도 홍천군 홍천읍 산림공원 2길 31 청소년수련관 2층,033-433-1386
강원,춘천시청소년상담복지센터,(24400) 강원도 춘천시 동내면 외솔길 19번길 45,033-818-1388
강원,횡성군청소년상담복지센터,(25236) 강원도 횡성군 횡성읍 문예로 75 문화체육공원 내,033-344-1388
강원,삼척시청소년상담복지센터,"(25919) 강원도 삼척시 엑스포로 50-1, 3층",033-575-5033
충북,충청북도청소년상담복지센터,(28516) 충북 청주시 상당구 대성로 103(문화동 69-1),043-258-2000
충북,충주시청소년상담복지센터,(27411) 충북 충주시 중원대로 3324,043-842-2007
충북,청주시청소년상담복지센터,(28543) 충북 청주시 상당구 중앙로 30 청하빌딩 5층,043-275-1388
충북,제천시청소년상담복지센터,"(27153) 충북 제천시 청전대로 12길 4, 2층",043-642-7949
충북,단양군청소년상담복지센터,(27012) 충북 단양군 단양읍 삼봉로 187-18 단양군청소년수련관 2층,043-421-8370
충북,서청주청소년상담복지센터,(28436) 충북 청주시 흥덕구 직지대로 351번길 56 (청주시청소년수련관 3층),043-297-1388
충북,영동군청소년상담복지센터,"(29149) 충북 영동군 영동읍 성안길8, 청소년수련관 2층",043-744-5700
충북,음성군청소년상담복지센터,(27703) 충북 음성군 음성읍 설성공원길 16 음성청소년문화의집 1층,043-873-1318
충북,옥천군청소년상담복지센터,"(29040) 충북 옥천군 옥천읍 동부로 39, 청소년수련관 1층",043-731-1388
충북,진천군청소년상담복지센터,"(27832) 충북 진천군 진천읍 포석길 37-10, 4층(청소년수련관)",043-536-3430
충북,괴산군청소년상담복지센터,(28026) 충북 괴산군 괴산읍 임꺽정로 99-15,043-830-3826
충북,증평군청소년상담복지센터,(27948) 충북 증평군 증평읍 보건복지로 64-2,043-835-4188
충북,보은군청소년상담복지센터,(28936) 충북 보은군 보은읍 뱃들4길 11-14,043-542-1388
충남,충청남도청소년상담복지센터,"(31100) 충남 천안시 서북구 서부대로 766, 3~4층(두정동, 진암빌딩)",041-554-2130
충남,공주시청소년상담복지센터,(32546) 충남 공주시 대통 1길 57,041-856-1388
충남,금산군청소년상담복지센터,"(32737) 충남 금산군 금산읍 금산로 1559(금산다락원), 만남의 집 3층",041-751-2007
충남,논산시청소년상담복지센터,(32993) 충남 논산시 논산대로 424 논산시청소년수련관 1층,041-736-2041
충남,당진시청소년상담복지센터,(31772) 충남 당진시 무수동 7길 142-26,041-357-2000
충남,보령시청소년상담복지센터,(33466) 충남 보령시 문화원길 9 보령시청소년문화의집 3층,041-936-5710
충남,부여군청소년상담복지센터,(33149) 충남 부여군 부여읍 의열로 43,041-836-1898
충남,서산시청소년상담복지센터,(31967) 충남 서산시 서령로136 서산문화복지센터 청소년수련관 3층(동문동),041-669-2000
충남,서천군청소년상담복지센터,"(33644) 충남 서천군 서천읍 서천향교길 3, 2층",041-953-4040
충남,아산시청소년상담복지센터,(31513) 충남 아산시 시장길 29 시민문화복지센터 303호,041-532-2000
충남,예산군청소년상담복지센터,(32423) 충남 예산군 예산읍 벚꽃로 214 예산군청소년수련관 내 2층,041-335-1388
충남,청양군청소년상담복지센터,(33339) 충남 청양군 청양읍 문화예술로 187 청양군문화의집 3층,041-942-9596
충남,태안군청소년상담복지센터,(32140) 충남 태안군 태안읍 백화로 199 청소년수련관 1층,041-674-2800
충남,홍성군청소년상담복지센터,(32293) 충남 홍성군 광천읍 홍남로 744번길 14,041-634-4858
충남,계룡시청소년상담복지센터,(32829) 충남 계룡시 엄사면 문화로 31 계룡문화예술의전당 3층,042-551-1318
충남,천안시청소년상담복지센터,(31129) 충남 천안시 동남구 은행길 15-1 도시창조두드림센터 4층,041-622-1388
전북,전라북도청소년상담복지센터,(54935) 전북 전주시 덕진구 팔달로 346,063-276-6291
전북,전주시청소년상담복지센터,(55081) 전북 전주시 완산구 용머리로 94 3층,063-236-1388
전북,군산시청소년상담복지센터,(54121) 전북 군산시 동리2길 7,063-466-1388
전북,익산시청소년상담복지센터,(54621) 전북 익산시 인북로32길 32,063-852-1388
전북,정읍시청소년상담복지센터,(56190) 전북 정읍시 상동중앙로14 청소년문화체육관 3층,063-531-3000
전북,남원시청소년상담복지센터,"(55749) 전북 남원시 충정로 72, 남원시청소년수련관 3층",063-635-1388
전북,김제시청소년상담복지센터,(54378) 전북 김제시 요촌길 45 지평선어울림센터 2층,063-544-1377
전북,진안군청소년상담복지센터,(55432) 전북 진안군 진안읍 진무로 1054-14 청소년수련관 3층,063-433-2377
전북,완주군청소년상담복지센터,"(55340) 전북 완주군 삼례읍 삼봉로125, 완주군청소년수련관 2층",063-291-7373
전북,무주군청소년상담복지센터,(55514) 전북 무주군 무주읍 한풍루로 326-34 2층,063-323-7717
전북,장수군청소년상담복지센터,(55638) 전북 장수군 장수읍 한누리로 393 한누리전당 가람관 3층,063-351-5161
전북,임실군청소년상담복지센터,(55926) 전북 임실군 임실읍 봉황로 159-7,063-644-1388
전북,순창군청소년상담복지센터,(56047) 전북 순창군 장류로 192,063-653-4646
전북,고창군청소년상담복지센터,(56450) 전북 고창군 고창읍 운동장길36 고창군청소년수련관(2층),063-563-6792
전북,부안군청소년상담복지센터,(56305) 전북 부안군 부안읍 당산로 81 오복청사 2층,063-583-8772
전남,전라남도청소년상담복지센터,(58564) 전남 무안군 삼향읍 어진누리길 30(전남여성플라자 4층) 전라남도청소년미래재단,061-280-9001
전남,나주시청소년상담복지센터,(58254) 전남 나주시 죽림길 34 2층,061-334-1388
전남,목포시청소년상담복지센터,"(58684) 전남 목포시 신흥로 83번길 14, 복지동 2층(옥암동, 목련아파트)",061-272-2440
전남,여수시청소년상담복지센터,(59739) 전남 여수시 고소4길 6-4,061-663-2000
전남,해남군청소년상담복지센터,(59028) 전남 해남군 해남읍 수성2길 9 (2층),061-537-1388
전남,장흥군청소년상담복지센터,(59327) 전남 장흥군 장흥읍 흥성로37-23 2층,061-863-1318
전남,진도군청소년상담복지센터,(58927) 전남 진도군 진도읍 진도대로 7195 진도여성플라자 2층,061-544-5122
전남,순천시청소년상담복지센터,(57992) 전남 순천시 명말 1길 57 3층,061-745-1388
전남,완도군청소년상담복지센터,(59115) 전남 완도군 완도읍 개포로 159번길 41,061-554-1318
전남,광양시청소년상담복지센터,(57790) 전남 광양시 광장로 14 청소년문화센터 2층,061-795-1388
전남,영광군청소년상담복지센터,"(57047) 전남 영광군 영광읍 중앙로 3길 6-10,영광군청소년문화센터 2층",061-353-1388
전남,화순군청소년상담복지센터,(58114) 전남 화순군 화순읍 광덕로 231 화순군민종합문화센터 2층,061-375-7442
전남,영암군청소년상담복지센터,(58418) 전남 영암군 영암로 1511 2층,061-471-8375
전남,고흥군청소년상담복지센터,(59535) 전남 고흥군 고흥읍 고흥로 1793 청소년문화의집 2층,061-834-1317
전남,보성군청소년상담복지센터,(59453) 전남 보성군 보성읍 송재로 281-7,061-853-1388
전남,강진군청소년상담복지센터,(59233) 전남 강진군 강진읍 영랑로1길 10 강진복지타운3층,061-432-1388
전남,담양군청소년상담복지센터,(57341) 전남 담양군 담양읍 중앙로 83 2층,061-381-1386
전남,무안군청소년상담복지센터,(58517) 전남 무안군 현경면 공항로 347-83,061-454-5284
전남,장성군청소년상담복지센터,(57222) 전남 장성군 장성읍 문화로 110 장성군청소년수련관 별관,061-817-1388
전남,곡성군청소년상담복지센터,(57504) 전남 곡성군 옥과면 리문리 205 옥과청소년문화의집 5층,061-363-9584
전남,함평군청소년상담복지센터,(57149) 전남 함평군 함평읍 중앙길 154,061-323-1324
전남,구례군청소년상담복지센터,(57636) 전남 구례군 구례로 508 청소년문화의 집 2층,061-782-0884
전남,신안군청소년상담복지센터,(58824) 전남 신안군 압해읍 천사로 1004 신안군청 보건소동 3층,061-240-8703
경북,경상북도청소년상담복지센터,"(36708) 경북 안동시 축제장길 20(옥야동, 398-22번)",054-850-1000
경북,경산시청소년상담복지센터,(38627) 경북 경산시 서상길 75 2층,053-812-1318
경북,경주시청소년상담복지센터,(38088) 경북 경주시 알천북로 131,054-742-1388
경북,영주시청소년상담복지센터,(36073) 경북 영주시 광복로 63,054-634-1318
경북,영천시청소년상담복지센터,(38844) 경북 영천시 운동장로 92 체육시설사업소 2층,054-338-1388
경북,포항시청소년상담복지센터,(37601) 경북 포항시 북구 삼호로 533 청소년수련관,054-252-0020
경북,김천시청소년상담복지센터,(39570) 경북 김천시 다삼로3,054-435-1388
경북,구미시청소년상담복지센터,(39221) 경북 구미시 구미중앙로 11길 13,054-443-1387
경북,문경시청소년상담복지센터,(36949) 경북 문경시 중앙로50,054-556-1389
경북,상주시청소년상담복지센터,"(37159) 경북 상주시 북상주로 24-42(계산동, 상주시청소년수련관 1층)",054-535-3511
경북,울진군청소년상담복지센터,(36324) 경북 울진군 울진읍 대나리항길 2 고우이청소년수련관 2층,054-781-0079
경북,청송군청소년상담복지센터,(37433) 경북 청송군 청송읍 금월로 244-30 청소년 수련관 2층 상담센터,054-872-7626
경북,의성군청소년상담복지센터,(37331) 경북 의성군 의성읍 충효로68,054-834-7933
경북,칠곡군청소년상담복지센터,(39885) 경북 칠곡군 왜관읍 2번도로길 83 3층,054-971-0418
경북,청도군청소년상담복지센터,(38333) 경북 청도군 화양읍 청려로 1846 청소년수련관 3층,054-373-1610
경북,예천군청소년상담복지센터,(36708) 경북 예천군 예천읍 충효로 393,054-654-9901
경북,성주군청소년상담복지센터,(40025) 경북 성주군 성주읍4길 25 성주군민회관 1층,054-931-1398
경북,안동시청소년상담복지센터,(36708) 경북 안동시 축제장길 42번지 안동시청소년수련관2층,054-859-1318
경북,봉화군청소년상담복지센터,(36238) 경북 봉화군 봉화읍 내성로1길 17-20(봉화군청소년센터2층),054-674-1388
경북,고령군청소년상담복지센터,"(40138) 경북 고령군 대가야읍 왕릉로 30, 대가야문화누리 4층",054-956-1383
경북,영덕군청소년상담복지센터,(36427) 경북 영덕군 영덕읍 강변길 324,054-732-1318
경북,군위군청소년상담복지센터,"(39013) 경북 군위군 군위읍 군청로 158, 군위국민체육센터 3층",054-382-1388
경남,경상남도청소년상담복지센터,"(51138) 경남 창원시 의창구 사림로 45번길 59 경남대표도서관 청소년관 3층, 4층",055-711-1388
경남,창원시창원청소년상담복지센터,(51412) 경남 창원시 의창구 두대로 97 늘푸른전당 3층 301호,055-273-2000
경남,창원시마산청소년상담복지센터,(51358) 경남 창원시 마산회원구 팔용로 128 우리누리청소년문화센터 별관2층,055-245-7941
경남,진주시청소년상담복지센터,"(52686) 경남 진주시 북장대로 6번길 9, 1층 (인사동)",055-744-2000
경남,창원시진해청소년상담복지센터,(51629) 경남 창원시 진해구 진해대로 1101 진해종합사회복지관 202호,055-551-2000
경남,통영시청소년상담복지센터,(53078) 경남 통영시 발개로 194 통영시청소년수련원 3층,055-644-2000
경남,사천시청소년상담복지센터,(52561) 경남 사천시 문선4길 23 청소년수련관 3층,055-835-4199
경남,김해시청소년상담복지센터,본소 - (50912)  경남 김해시 가락로 176번길 3,055-325-2000
경남,김해시청소년상담복지센터,서부상담소 - (51016)  경남 김해시 율하2로 210 김해서부문화센터 2층,055-330-7920
경남,밀양시청소년상담복지센터,"(50436) 경남 밀양시 삼문송림길 26, 밀양시청소년수련관2층",055-355-2000
경남,거제시청소년상담복지센터,"(53246) 경남 거제시 중곡로 46, 고현청소년문화의 집 2층",055-636-2000
경남,양산시청소년상담복지센터,본소 - (50620)  경남 양산시 양주3길 36 양산시청소년회관 2층,055-372-2000
경남,양산시청소년상담복지센터,웅상분소 - (50520)  경남 양산시 웅상대로 1009-1 웅상도서관 지하 1층,055-367-1318
경남,의령군청소년상담복지센터,(52151) 경남 의령군 의령읍 의병로 8길 44 종합사회복지관 3층,055-570-4972
경남,함안군청소년상담복지센터,"(52046) 경남 함안군 가야읍 말산 1길 10 (청소년수련관 2층, 청소년상담복지센터)",055-583-0924
경남,창녕군청소년상담복지센터,(50332) 경남 창녕군 창녕읍 화왕산1로 46 5층,055-532-2000
경남,고성군청소년상담복지센터,(52932) 경남 고성군 고성읍 교사 4길 13 청소년문화의집 3층,055-673-6882
경남,남해군청소년상담복지센터,(52419) 경남 남해군 남해읍 망운로 32 종합사회복지관 3층,055-863-5279
경남,하동군청소년상담복지센터,"(52326) 경남 하동군 하동읍 중앙로 72, 하동군청소년수련관 3층",055-883-3000
경남,산청군청소년상담복지센터,(52226) 경남 산청군 산청읍 웅석봉로 92 산청군청소년수련관 2층,055-973-8423
경남,함양군청소년상담복지센터,(50031) 경남 함양군 함양읍 필봉산길 55 종합사회복지관내 3층,055-963-7922
